Rating,Comments,Start Date
4,It was perfect,4/29/2026 0:00
4,NA,4/27/2026 0:00
4,None,4/27/2026 0:00
4,Clean and tidy,4/24/2026 0:00
2,Confused when we got there. Signs had fallen down. Very loud alarm going off also.,4/24/2026 0:00
4,It was a great experience,4/24/2026 0:00
4,No,4/24/2026 0:00
4,Nope,4/24/2026 0:00
4,No,4/22/2026 0:00
3,I wish there were showrooms for other housing options,4/21/2026 0:00
3,It would be nice to see more housing options on campus,4/20/2026 0:00
3,It would be good if you could see what it would be like at all the different halls that are possible. Even if it's a VR setup to be able to look around and judge the size of things.,4/16/2026 0:00
4,Nice tour. Appreciated the opportunity.,4/16/2026 0:00
4,NA,4/13/2026 0:00
4,It was lovely!,4/10/2026 0:00
4,Nice size rooms,4/10/2026 0:00
1,"Not very informational in my opinion, much on the quieter side meaning we had a lot of questions about things that should've been said.",4/6/2026 0:00
4,N/A,4/5/2026 0:00
4,Very clean and seems like security is a priority,4/5/2026 0:00
4,N/A,4/4/2026 0:00
4,The tranistion from the tour to housing was a bit unclear. We walked back to the original building 10 to inquire on housing.,4/4/2026 0:00
4,No,4/3/2026 0:00
4,We walked and it would have been helpful to have had a few directional signs out. Other visitors far up trying to find the housing showroom,4/2/2026 0:00
2,"The room was tidy and well decorated, but in the future it might be better to have more then one showroom for big event, as the room was crowded and there was a large line.",3/30/2026 0:00
4,It was very nice and spacious.,3/29/2026 0:00
4,Yes,3/29/2026 0:00
4,None,3/27/2026 0:00
4,Wish we could've seen a jack n Jill style room too,3/25/2026 0:00
4,It was really hard to hear they should split the group up in three.,3/23/2026 0:00
4,Very kept up!!,3/23/2026 0:00
4,A little dated,3/18/2026 0:00
4,None!,3/17/2026 0:00
4,wonderful,3/17/2026 0:00
4,Is the mattress included with the dorms or do we need to bring in our own?,3/16/2026 0:00
4,N/A,3/16/2026 0:00
4,pizza atm was cool,3/16/2026 0:00
3,Fire alarms were going off during tour,3/15/2026 0:00
4,N/A,3/13/2026 0:00
4,No,3/12/2026 0:00
4,Clean and nice,3/7/2026 0:00
3,"looks good for a dorm, nice and clean",3/7/2026 0:00
4,The show room was dirty. Especially the bathroom.,3/7/2026 0:00
4,All the tour guides were very kind and informative,3/5/2026 0:00
3,No,3/3/2026 0:00
3,I would have liked to have seen a traditional hall room as well as the one we saw,3/1/2026 0:00
4,N/A,2/28/2026 0:00
4,I want to apply,2/25/2026 0:00
4,"Everyone was extremely nice and welcoming, the tour was well done and definitely convinced me to commit!!",2/24/2026 0:00
4,"Everyone was super nice and welcoming, perfect campus tour, definitely makes me want to commit to the school!!",2/24/2026 0:00
4,No,2/22/2026 0:00
4,It was amazing!,2/20/2026 0:00
4,N/A,2/19/2026 0:00
3,Nope,2/18/2026 0:00
4,Better signage,2/16/2026 0:00
4,No,2/16/2026 0:00
2,"Would have liked to see the common area, laundry facility, and one or two other residence halls.",2/16/2026 0:00
4,I honestly really loved the residence hall! We didnâ€™t look inside of the dorms but the outside and description of them were really good,2/13/2026 0:00
4,It was a little dark in the atrium of the residence hall,2/13/2026 0:00
4,"The tour was great, and it honestly made me fall in love with UNF. Iâ€™m surprised this isnâ€™t a bigger/more popular school to go to, the campus is amazing and the student body diversity is so perfect.",2/11/2026 0:00
4,No,2/9/2026 0:00
4,No issues,2/9/2026 0:00
1,"Pre scheduling was great, would improve the dorm room tour",2/9/2026 0:00
4,"We would have liked to have seen some more options - I know there are several ""halls"" available.",2/8/2026 0:00
4,It was amazing overall and I canâ€™t wait to go to UNF in the summer,2/7/2026 0:00
3,N/A,2/7/2026 0:00
4,No,2/7/2026 0:00
4,We would have liked to have the option of seeing other residence halls as well,2/7/2026 0:00
4,Itâ€™s a little dark inside. It could benefit from some warm lamps or cool lighting.,1/14/2026 0:00
0,"Isabella had no idea what she was talking about; She said â€œIâ€™m not really sureâ€ to every question we had and then told us to call Housing and Residence Life. I came to the showroom to see the room and get my questions answered, not get deferred and leave with more questions.",12/12/2025 0:00
3,Nope,12/11/2025 0:00
2,Not impressed with dorm we saw. I understand itâ€™s a basic down but maybe set it up as a student would?,12/4/2025 0:00
3,N/A,11/26/2025 0:00
4,We would have liked to see other options as well.,11/26/2025 0:00
4,Will most likely stay off campus.,11/26/2025 0:00
4,I was going to a tour of students with intellectual disabilities,11/24/2025 0:00
4,N/A,11/22/2025 0:00
1,Kinda dirty,11/20/2025 0:00
3,No,11/19/2025 0:00
4,"Nope, it was beautiful!",11/18/2025 0:00
4,the food was amazing,11/13/2025 0:00
4,Wish we could have seen a few housing options,11/12/2025 0:00
4,I was very impressed with the facility,11/4/2025 0:00
3,Good,10/29/2025 0:00
4,No,10/29/2025 0:00
4,It was a great tour by Eda!!,10/28/2025 0:00
4,No it was all really good,10/28/2025 0:00
4,No,10/22/2025 0:00
0,"We attempted to see the residence hall.  We were directed to the Herbert University Center.  They didn't know anything about the tour, so we walked to Osprey Crossings and didn't find anyone who could help us.  We never had the opportunity to preview the dorms.",10/4/2025 0:00
4,It was vary nice but needs more colors,9/5/2025 0:00
1,should let first year students have the option of apartment style,8/26/2025 0:00
4,That it was great and I had a good time,8/21/2025 0:00
4,N/A,8/18/2025 0:00
4,Great communication.,8/15/2025 0:00
4,I had a great experience and my tour guide was extremely friendly and helpful.  She answered all my questions and made sure to go in depth when explaining what all of the buildings have.  She definitely helped make the campus feel less confusing.,8/15/2025 0:00
4,No,8/14/2025 0:00
2,None,8/11/2025 0:00
3,I wish we could have see a room in another building as well.,8/8/2025 0:00
4,"honestly, great school and solid tour guide! (high MTN)",8/7/2025 0:00
4,I liked the space in the room we were shown as well as the set-up.  I liked all the different options that are provided for residence halls.,8/6/2025 0:00
4,No,8/6/2025 0:00
4,"Slight mildew smell noticed by my husband, but it is Florida in the summer!",8/6/2025 0:00
4,None,8/5/2025 0:00
4,Would love to see more than 1 showroom,8/5/2025 0:00
2,Show us more residence halls please.,8/4/2025 0:00
4,Would have liked to see a few other housing options not just one,8/3/2025 0:00
4,N/A,8/1/2025 0:00
1,No security. Seems very unsafe,8/1/2025 0:00
2,"As an Air Force member the housing was below my expectations, too tight, it should be only for one person or larger",7/30/2025 0:00
4,"Cozy, welcoming. However, little lighting fixtures will always be more welcoming than a single primary light.",7/30/2025 0:00
4,No,7/30/2025 0:00
4,The residence hall looked great! Iâ€™m excited to come back and hopefully call it home.,7/30/2025 0:00
4,N/A,7/28/2025 0:00
4,Musty smell,7/26/2025 0:00
4,N/A,7/26/2025 0:00
2,Dorm buildings need upgrade,7/25/2025 0:00
4,everything is super clean and kept up with!,7/25/2025 0:00
4,I think everything looks so nice. The common room is spacious and had many options. It was interesting to look at everything to get in idea of things. The only thing is I wouldâ€™ve liked to see the other types of rooms,7/25/2025 0:00
3,No,7/25/2025 0:00
0,the inside was decorated nicely but outside needs a powerwash and upkeeping it looked rather unappealing,7/24/2025 0:00
4,Very impressive,7/24/2025 0:00
4,Larger than expected,7/23/2025 0:00
4,Include Osprey Hall in tour,7/22/2025 0:00
